Company,Position,Salary
AbbVie Inc.,"Senior Scientist I
198 Salaries submitted",190
AbbVie Inc.,"Associate Director
181 Salaries submitted",324
AbbVie Inc.,"Director
150 Salaries submitted",405
AbbVie Inc.,"Sales Representative
134 Salaries submitted",250
AbbVie Inc.,"Senior Scientist II
111 Salaries submitted",201
AbbVie Inc.,"Associate Scientist II
105 Salaries submitted",128
AbbVie Inc.,"Intern
94 Salaries submitted",111
AbbVie Inc.,"Specialty Sales Representative
81 Salaries submitted",289
AbbVie Inc.,"Manager
76 Salaries submitted",236
AbbVie Inc.,"Scientist
71 Salaries submitted",195
AbbVie Inc.,"Project Manager
71 Salaries submitted",197
AbbVie Inc.,"Business Systems Analyst
57 Salaries submitted",152
AbbVie Inc.,"Senior Scientist
57 Salaries submitted",214
AbbVie Inc.,"Scientist I
56 Salaries submitted",147
AbbVie Inc.,"Senior Manager
53 Salaries submitted",275
AbbVie Inc.,"Associate Scientist I
53 Salaries submitted",97
AbbVie Inc.,"Clinical Sales Representative
48 Salaries submitted",276
AbbVie Inc.,"Manufacturing Technician
43 Salaries submitted",68
AbbVie Inc.,"Scientist II
42 Salaries submitted",166
AbbVie Inc.,"Pharmaceuticals Sales Representative
42 Salaries submitted",295
Abeona Therapeutics Inc.,"Scientist
3 Salaries submitted",161
Abeona Therapeutics Inc.,"Senior Associate
3 Salaries submitted",136
Abeona Therapeutics Inc.,"Director
2 Salaries submitted",316
Abeona Therapeutics Inc.,"Sr. Quality Assurance Specialist
1 Salaries submitted",108
Abeona Therapeutics Inc.,"Senior Supply Chain Manager
1 Salaries submitted",195
Abeona Therapeutics Inc.,"Sr. Associate
1 Salaries submitted",105
Abeona Therapeutics Inc.,"Quality Assurance Associate
1 Salaries submitted",74
Abeona Therapeutics Inc.,"Process Associate
1 Salaries submitted",111
Abeona Therapeutics Inc.,"Vice President Clinical Operations
1 Salaries submitted",413
Abeona Therapeutics Inc.,"Senior Manufacturing Associate
1 Salaries submitted",100
Abeona Therapeutics Inc.,"Quality Assurance
1 Salaries submitted",80
Abeona Therapeutics Inc.,"Senior Director Regulatory Affairs
1 Salaries submitted",315
"ARCA biopharma, Inc.","Research Associate
3 Salaries submitted",73
"ARCA biopharma, Inc.","Intern
1 Salaries submitted",53
"ARCA biopharma, Inc.","Principal Scientist
1 Salaries submitted",157
Arbutus Biopharma Corporation,"Scientist
8 Salaries submitted",143
Arbutus Biopharma Corporation,"Research Scientist
4 Salaries submitted",153
Arbutus Biopharma Corporation,"Director
2 Salaries submitted",282
Arbutus Biopharma Corporation,"Senior Manager, Medical Writing
1 Salaries submitted",175
Arbutus Biopharma Corporation,"Senior Vice President Research & Development
1 Salaries submitted",456
Arbutus Biopharma Corporation,"Senior Associate
1 Salaries submitted",132
ACADIA Pharmaceuticals Inc.,"Associate Director
5 Salaries submitted",263
ACADIA Pharmaceuticals Inc.,"Neuroscience Sales Specialist
4 Salaries submitted",235
ACADIA Pharmaceuticals Inc.,"Sales
2 Salaries submitted",243
ACADIA Pharmaceuticals Inc.,"Sr. Director
2 Salaries submitted",417
ACADIA Pharmaceuticals Inc.,"Enterprise Systems Administrator
2 Salaries submitted",145
ACADIA Pharmaceuticals Inc.,"Senior Director Clinical Operations
2 Salaries submitted",338
ACADIA Pharmaceuticals Inc.,"Administrative Assistant
2 Salaries submitted",56
ACADIA Pharmaceuticals Inc.,"Senior Business Analyst
2 Salaries submitted",157
ACADIA Pharmaceuticals Inc.,"Medical Science Liaison (MSL)
2 Salaries submitted",261
ACADIA Pharmaceuticals Inc.,"Business Analyst
2 Salaries submitted",116
ACADIA Pharmaceuticals Inc.,"Senior Manager Regulatory Operations
1 Salaries submitted",245
ACADIA Pharmaceuticals Inc.,"Senior Director, Internal Communications
1 Salaries submitted",354
ACADIA Pharmaceuticals Inc.,"SAS Programmer
1 Salaries submitted",116
ACADIA Pharmaceuticals Inc.,"Director PV Operations
1 Salaries submitted",374
ACADIA Pharmaceuticals Inc.,"Director of Clinical Operations
1 Salaries submitted",282
ACADIA Pharmaceuticals Inc.,"Pharmaceutical Sales Manager
1 Salaries submitted",258
ACADIA Pharmaceuticals Inc.,"Executive Account Manager
1 Salaries submitted",243
ACADIA Pharmaceuticals Inc.,"Sales Executive
1 Salaries submitted",270
ACADIA Pharmaceuticals Inc.,"Intern
1 Salaries submitted",88
ACADIA Pharmaceuticals Inc.,"Vivarium Manager/Associate Scientist
1 Salaries submitted",116
